base_url,method,pattern,confidence,result_type
http://www.fertilizerseurope.com,input,input[type='search'],4,modal
http://www.bioenergy-news.com,input,input[id*='search'],3,modal
http://www.plasteurope.com,icon,.search-button,4,modal
http://www.federalregister.gov,icon,button[aria-label*='Search'],4,modal
https://www.chemengonline.com,icon,i[class*='search'],4,modal
https://cen.acs.org,icon,button[aria-label*='Search'],4,modal
http://www.agribusinessglobal.com,icon,button[class*='search'],4,redirect
http://www.agropages.com,input,input[placeholder*='search'],2,same-page
http://www.chemengonline.com,icon,i[class*='search'],6,modal
https://www.agribusinessglobal.com,input,input[name='s'],4,network
http://www.foodprocessing.com,icon,div[class*='search-icon'],6,modal
http://www.plastindia.org,fallback,/start-up-search,0,none
https://indianchemicalnews.com,icon,i[class*='search'],6,modal
http://www.plasticseurope.org,,,0,none
https://www.foodbev.com,,,0,none
http://eur-lex.europa.eu,fallback,https://european-union.europa.eu/institutions-law-budget/institutions-and-bodies/search-all-eu-institutions-and-bodies_en,0,none
http://www.chemicalweekly.com,input,input[type='search'],4,modal
http://www.tradearabia.com,,,0,none
https://mines.rajasthan.gov.in/,input,input[name='search'],4,modal
https://www.energyglobal.com,,,0,none
https://www.freepressjournal.in/business,input,input[name='q'],4,network
https://www.energy.gov/lpo/latest-news,input,[role='search'] input,4,network
https://www.hydrocarbonprocessing.com,input,input[placeholder*='Search'],4,modal
http://www.plasticstoday.com,icon,button[aria-label*='Search'],6,modal
https://www.deshgujarat.com/,input,input[name='q'],5,modal
http://www.process-worldwide.com,,,0,none
https://www.chemarc.com/news-search?q=Gujarat,,,0,none
